narrative,mean_justodoar,sd_justodoar,min_justodoar,max_justodoar,mean_probdoar,sd_probdoar,min_probdoar,max_probdoar,n
Extrema Pobreza,5.280701754385965,1.064934370293579,3,6,4.280701754385965,1.508954060231697,0,6,57
Escola,5.175438596491228,1.2972884773571796,1,6,4.175438596491228,1.6596342864957572,0,6,57
